theta_0,theta_1,r_theta,mu_0,mu_1,r_mu,sigma_0,sigma_1,r_sigma
0.026793092197686937,0.02299145263332397,0.8581112050705679,7.401931864016414e-06,-1.5839270139854968e-06,-0.2139883267077294,5.456504654648962e-06,4.198501192843344e-06,0.7694488429082903
-0.023180892939771085,0.025519198975840623,-1.1008721295657142,4.259173103450047e-08,-6.358284778049891e-06,-149.2844884116005,1.7810237663779298e-06,1.4220444533866902e-05,7.984421545809598
0.017372928550325094,0.033185774697807986,1.910200378806427,-2.93919882800445e-06,-4.297978847271719e-06,1.4622960537139993,2.933830240113135e-06,4.350415912872473e-06,1.4828451399099054
0.026289217266828972,0.02734210537288975,1.040050188462221,-1.7564747829401007e-06,-3.378894640836293e-06,1.9236795618440257,3.6901215961718084e-06,3.5472086104630617e-06,0.9612714697919421
0.025401118829734934,0.013462553715105761,0.5299984542155793,-5.138393617805157e-06,2.36790037443585e-06,-0.46082502637220857,2.5983140249517955e-06,3.1334341383872168e-06,1.2059489762579214
0.021994279693923174,0.037741465591408126,1.715967338627405,-9.752715607586446e-07,-4.759238606736048e-06,4.87991119420516,2.9522713092810405e-06,3.1252062480377954e-06,1.0585769127021287
0.028894648255533076,0.02454390449540222,0.8494273499488707,6.391000232106075e-08,-7.977890662192029e-07,-12.483007936870335,2.904193936807836e-06,2.4984137151039834e-06,0.8602778497121067
0.019864694015268435,0.026672517244899527,1.3427096951203201,-3.291062039332355e-06,2.6975655318374172e-06,-0.8196641386877841,2.942723139520537e-06,4.047256963947935e-06,1.3753441190554412
0.048599486165086844,0.028705294064883792,0.5906501555875554,-6.065082041834688e-06,1.2872529290702677e-06,-0.21223998623452645,6.049300026956987e-06,4.004958360511563e-06,0.6620531867595597
0.03394075988453439,0.03710000594811525,1.0930811824581577,-1.50713296448903e-06,-2.736403636834142e-07,0.18156351836958706,1.863819704717557e-06,2.269964265730325e-06,1.2179097903004064
0.030123587219933207,0.027559522489207795,0.9148818262577727,-4.939812440899169e-07,2.255251170982445e-08,-0.04565459109965586,2.5079411308881086e-06,1.627355317536443e-06,0.6488809874736439
0.025801797594672635,0.03509745133856274,1.3602715551031763,1.3615173123196121e-06,-2.400631241075665e-06,-1.7632028761982603,2.7536939801768768e-06,4.242239016043993e-06,1.5405629843340483
0.03461916761421596,0.0239848692727192,0.6928205074136471,-2.0955848373314616e-06,-3.7308002207417238e-06,1.7803145710352446,2.895247301211222e-06,3.018559272392974e-06,1.0425911704088853
0.026574724062383002,0.027923845462650507,1.050767089701496,-4.626196249595449e-07,-3.140766797542406e-08,0.06789091141166048,2.576722322802769e-06,2.324678767247929e-06,0.9021844327871987
