score,vol,r_vol,theta_0,theta_1,r_theta,sigma_0,sigma_1,r_sigma
30.91205499359967,0.0001182528000949,0.783902464754646,0.0267930921976869,0.0229914526333239,0.8581112050705679,5.456504654648962e-06,4.198501192843344e-06,0.7694488429082903
-169.5727322595235,0.0002955624177977,8.374329565361478,-0.023180892939771,0.0255191989758406,-1.1008721295657142,1.7810237663779298e-06,1.4220444533866902e-05,7.984421545809598
-137.17428308412428,9.753932708076176e-05,1.4783908199474256,0.017372928550325,0.0331857746978079,1.910200378806427,2.933830240113135e-06,4.350415912872473e-06,1.4828451399099054
-79.24531352756723,9.331893584347368e-05,0.9767170427515536,0.0262892172668289,0.0273421053728897,1.040050188462221,3.690121596171808e-06,3.5472086104630617e-06,0.961271469791942
-160.08848694505494,6.779234988661703e-05,1.2304884621948333,0.0254011188297349,0.0134625537151057,0.5299984542155793,2.5983140249517955e-06,3.1334341383872168e-06,1.2059489762579214
-35.294244670108,7.321386056780605e-05,1.0752599235740368,0.0219942796939231,0.0377414655914081,1.715967338627405,2.9522713092810405e-06,3.1252062480377954e-06,1.0585769127021287
-95.62725241011552,6.739640425596433e-05,0.8739920377144224,0.028894648255533,0.0245439044954022,0.8494273499488707,2.904193936807836e-06,2.4984137151039834e-06,0.8602778497121067
-84.50189558339024,9.303645656023106e-05,1.3782180182279389,0.0198646940152684,0.0266725172448995,1.34270969512032,2.942723139520537e-06,4.047256963947935e-06,1.3753441190554412
-312.5628159926973,0.0001349841632025,0.6758487696729478,0.0485994861650868,0.0287052940648837,0.5906501555875554,6.049300026956987e-06,4.004958360511563e-06,0.6620531867595597
-93.5513670583668,5.498667074929366e-05,1.2227095827392274,0.0339407598845343,0.0371000059481152,1.0930811824581577,1.863819704717557e-06,2.269964265730325e-06,1.2179097903004064
-39.17390986697326,5.502474877879948e-05,0.6521303227813281,0.0301235872199332,0.0275595224892077,0.9148818262577728,2.5079411308881086e-06,1.627355317536443e-06,0.6488809874736439
-108.99416197925687,9.899689982005875e-05,1.5703930259145062,0.0258017975946726,0.0350974513385627,1.3602715551031763,2.7536939801768768e-06,4.242239016043993e-06,1.5405629843340485
