id,no vol score,log vol score,score,mean volume,volatility,short mom,long mom,short unweighted mom,long unweighted mom
4970,-209.23772080048076,-698.1997977832698,-1045.054114499563,494639.02139614616,0.0002002171159344,-726.4641775062007,-420.4895565727559,-580.174806196186,-423.15441371342473
1610,-98.99801711176406,-367.4253032528395,-669.0767409723035,234070.74098323,0.0001479621260902,-413.65109177339934,-187.5193361817697,-213.47048418960088,-181.4083651393318
1370,-50.656021783678334,-225.27486011271267,-534.6415292475085,116549.25311107148,9.47476374590188e-05,-246.3205496822627,-85.28279732117954,-83.98175404137623,-71.0778175686928
540,-51.19419247927984,-226.00764376217512,-531.468080062354,117429.66413183884,9.632599661163756e-05,-180.91635683061168,-51.33947897490677,-222.18234349067225,-59.08987324026773
4710,-35.75235832469131,-174.70747880445276,-461.9117407478766,160623.1133976676,7.740084343126898e-05,-126.58964432980522,-67.3678475291961,-94.69233358289692,-77.29130182504763
4950,-48.09140148722605,-204.2710060036091,-456.6784486099619,266925.2359803233,0.0001053069213877,-148.71554825871536,-96.86896730923752,-144.1310387141873,-103.93007269918652
1730,-64.64157448047128,-239.47666879646783,-434.73780588354543,240559.71417390063,0.0001486909433816,-125.49124047851714,-126.1987589525001,-204.66843744907217,-174.55331449228626
1700,-29.518027624893705,-152.35540418598606,-425.2707281689348,48300.585340946986,6.940996797966294e-05,-141.86774834824251,-35.87534377004127,-86.12186554374054,-24.997880387463827
4590,-32.96431961437984,-156.59158985863144,-401.6100656181841,168151.16023411945,8.208041191308051e-05,-91.89495360349214,-67.11953485115822,-101.74203716495104,-75.20997504809323
2570,-93.62804321138428,-292.7652182851359,-382.3900506539511,398793.9388863646,0.0002448495797714,-322.78967118519444,-163.7570598937713,-322.40026533314136,-164.03616198955703
2750,-26.97722964908372,-137.7466169044858,-380.5797223240049,136709.9769031632,7.088456916292764e-05,-118.828378690845,-43.68416450800212,-80.86697298893408,-29.35549133642818
4830,-24.514769413972044,-130.71850766382192,-375.8009774443888,71757.7532546107,6.523338385302562e-05,-125.67315603949224,-35.02592669927294,-50.59328023022167,-20.3470865661634
5210,-46.92309820925902,-185.13729836560623,-372.10554678901656,200752.19929612047,0.000126101582237,-127.96776466269118,-77.01828922209602,-186.22142426041825,-90.40513216716136
1010,-83.01790397879886,-264.0766159673716,-357.99579736640936,381505.8661038639,0.0002318963088101,-256.8300150756276,-75.0541268403054,-378.0267058090412,-118.27703677619851
